Vmag,Plx,B-V,Abs Mag
8.59,14.36,0.616,0.24969112018743722
11.55,16.27,1.26,-1.042775105873718
7.09,13.9,0.303,0.8779703994918098
8.54,4.59,0.23,1.260374628925478
9.58,12.24,0.7,-0.007562835619084751
8.44,6.36,0.456,1.0170857687031725
8.59,-0.56,0.36,3.067623945987599
8.01,10.62,0.406,0.7437509665090996
8.29,5.58,0.54,1.1907316021248429
9.62,6.67,0.657,0.5037483321669025
7.26,5.48,0.355,1.6184388830312617
7.91,5.53,0.314,1.3505497373906032
9.45,2.07,1.115,1.5880593090861648
8.19,1.2,0.26,2.565637507904751
8.93,9.88,0.607,0.43848611082474387
7.65,3.93,0.992,1.7512148992491465
8.53,8.18,0.491,0.7624933926573544
7.38,6.15,1.003,1.4702497684491664
8.56,14.48,0.615,0.25446287627774355
8.76,0.82,1.692,2.6683722952325666
9.56,2.04,0.39,1.5567396651482022
7.09,4.24,-0.085,1.9092682868145345
9.83,9.2,0.699,0.14042434530888953
5.9,0.89,0.274,3.741219986710174
10.8,1.88,0.882,1.13168430147264
8.41,6.58,0.563,0.999548212772089
9.05,5.54,0.16,0.8929804705431401
8.79,0.07,0.08,4.793803919971486
8.88,5.57,0.253,0.956289609652542
7.59,1.47,1.68,2.629365330503648
9.6,11.87,0.75,0.01109856209081812
10.66,-1.21,1.45,1.5704292593670997
8.55,4.12,0.037,1.3502055679337306
8.11,14.91,0.484,0.4090447130940113
9.44,0.58,1.069,2.6971440128741255
9.6,7.92,0.549,0.36254963682101293
5.78,11.29,1.084,1.5826121161500637
10.66,6.82,1.5,0.06843125068704196
6.38,7.75,0.006,1.66939659498738
8.8,5.27,1.031,1.0363787695749067
7.79,2.46,-0.089,2.1021297857932417
8.6,16.79,0.64,0.10989860772390259
7.77,4.1,-0.058,1.6664322865605292
10.37,21.14,1.1,-0.7982099659428143
9.8,22.52,0.855,-0.6251367723586174
10.42,12.99,0.8,-0.3952183021460559
11.63,5.72,0.971,-0.1667920575860485
9.22,3.01,1.001,1.3548670088123131
4.99,2.03,1.619,3.389007924173574
8.43,9.89,0.611,0.6376074168056413
7.33,10.92,0.444,0.9915547232625628
8.93,0.95,1.025,2.4725527894223047
9.09,17.09,0.639,-0.1014841254414737
9.26,4.67,1.162,0.9573662388677757
8.73,3.4,1.036,1.4450421659154895
9.18,-0.43,1.169,3.061063088840827
8.12,2.15,2.53,2.08712308016879
9.26,1.99,1.149,1.6982938471805866
8.94,1.59,1.181,2.021205751359097
6.11,1.94,0.159,2.980396540139548
9.13,1.38,0.239,2.0682418271975265
7.9,4.83,1.249,1.4721057384969756
9.34,1.26,0.95,2.0632589097648744
7.13,2.46,1.26,2.366129785793242
10.82,0.81,1.021,1.8550299622427004
7.46,4.15,1.072,1.7799038065758146
8.72,1.39,1.508,2.2259703994918096
7.02,6.13,1.1,1.61707905096317
8.37,4.04,0.881,1.4392372697787905
5.59,5.7,-0.1,2.2522502886550173
7.37,11.46,0.422,0.9336307647372575
5.68,10.3,1.051,1.7023255505896557
8.56,7.35,0.792,0.8434253218316101
8.72,2.46,-0.014,1.7301297857932414
9.06,4.16,0.368,1.1378133387465144
8.82,4.08,0.433,1.25067967382024
8.18,5.84,0.376,1.1951743057752011
9.39,9.37,0.735,0.3005208182244431
9.1,-0.59,0.652,2.818295976715712
8.46,1.61,0.556,2.2023482479363006
9.15,5.46,0.394,0.8656147145905253
8.28,5.65,0.002,1.183903104361123
8.18,6.95,0.43,1.0440303908197723
7.93,10.47,0.478,0.7881066366423155
9.21,3.05,0.964,1.347400321306428
6.09,27.18,0.632,0.6955010952070492
8.31,3.15,0.036,1.6793788924207989
7.83,2.91,1.256,1.9402140220281854
8.72,3.73,0.082,1.3685823363826244
6.61,2.13,0.025,2.6992407931225246
6.25,5.34,1.368,2.044917485942887
7.82,39.06,0.755,-0.31146447790367127
8.66,3.49,1.614,1.4503491460816402
8.15,6.02,0.475,1.180807017484351
8.97,11.56,0.674,0.28608433183097903
8.15,1.55,1.201,2.359336603659417
7.47,14.53,0.55,0.687468771403957
8.63,1.67,1.57,2.102567057704833
8.13,22.09,0.71,0.05960856825712994
8.23,4.41,0.986,1.4191228210643227
8.41,8.49,0.461,0.7781846195120945
6.47,7.63,0.946,1.6469509240902394
9.83,-0.99,1.54,2.0767296108049003
8.64,6.19,1.3,0.9606187019597637
7.73,19.78,0.537,0.3155474254776788
8.64,1.96,0.889,1.9594878572870478
8.94,8.38,0.415,0.577511962739447
8.84,8.73,0.759,0.5819715125888607
6.32,6.95,1.099,1.788030390819772
5.8,4.5,-0.067,2.3735749724493123
8.97,5.12,0.86,0.9934600780483382
7.53,23.9,0.577,0.23120419810372433
7.41,2.53,1.288,2.229758957648364
7.8,5.43,0.437,1.410400340822306
8.14,14.25,0.593,0.43637027131094186
6.71,6.66,0.068,1.6690515416593974
8.73,1.42,1.124,2.2034233112338866
9.37,6.64,0.51,0.6076638412639653
8.69,11.12,0.644,0.43179042550792274
9.95,86.98,1.472,-1.858838806658634
7.1,6.27,1.128,1.5654649183385674
8.09,2.45,0.496,1.9856678312709348
6.88,10.35,0.174,1.218119300414127
9.48,-0.08,1.037,4.401820026016113
9.04,1.4,0.692,2.0917439286435244
9.3,10.28,0.538,0.256013770681486
8.49,62.48,1.076,-0.9874820417384882
8.3,3.18,0.998,1.6751457600311344
7.95,2.21,0.991,2.1312154526297786
7.08,5.31,-0.006,1.717810957837062
6.93,4.29,0.94,1.9630854156305517
8.38,4.33,-0.06,1.3750242072932688
4.61,25.38,1.029,1.3470167644826283
8.56,229.33,1.462,-2.144921742100356
8.78,1.29,1.156,2.2668205794015024
7.42,9.55,0.191,1.071993256832507
8.26,1.69,1.052,2.240226590772653
7.71,5.05,1.093,1.5094172437626772
6.91,6.75,1.12,1.57739245433795
9.16,9.89,0.782,0.34560741680564105
8.99,3.3,1.199,1.366972120244225
8.63,4.55,0.46,1.2319772066857748
9.9,2.61,0.599,1.206718985323438
7.59,4.65,1.045,1.629094094220092
7.39,4.76,0.99,1.688786094559014
7.78,4.79,1.123,1.5273289731708735
7.47,2.01,1.62,2.4056078851590224
6.97,3.07,1.444,2.2377232490456276
8.82,18.57,0.666,-0.06562380747956098
9.13,22.2,0.735,-0.34470594890127765
7.86,11.04,0.494,0.77006185321364
7.13,19.81,0.446,0.5542310489229056
9.45,-1.03,0.995,2.1943255505896557
12.04,0.75,0.501,1.4338774732166002
8.78,3.94,1.249,1.297007556348852
7.23,3.52,1.174,2.0149146730437377
9.73,6.89,0.725,0.43156155618474834
7.36,4.25,0.993,1.799222139899377
7.36,2.3,1.444,2.332544327964814
8.47,0.47,-0.18,3.2678042841285646
9.37,2.52,1.537,1.449198918436912
6.99,4.25,1.187,1.9472221398993768
8.2,85.1,1.41,-1.139859120169175
8.36,7.0,0.247,0.9658039199714867
8.22,21.03,0.636,0.06632145462735721
5.55,8.75,0.901,1.895983893955373
9.91,5.59,0.353,0.5411763842271535
9.67,2.19,0.524,1.4511117703197633
8.6,1.87,1.1,2.0163167869270024
10.07,1.32,0.923,1.7308521375883
10.15,7.28,0.677,0.2157372413739253
7.75,5.95,0.414,1.3509660685429008
9.21,4.01,0.097,1.109711254759635
9.66,-0.26,0.787,3.3060533040583637
8.47,2.62,0.045,1.7753974173605087
9.37,6.18,0.507,0.6700230498223686
9.44,11.21,0.617,0.12478877481005383
9.99,7.92,0.646,0.20654963682101268
10.38,13.23,0.782,-0.3951196883750022
7.51,24.85,0.595,0.20534721386129817
8.91,2.92,1.19,1.5052342971031634
7.45,26.24,0.596,0.18207233859275468
9.57,6.5,0.51,0.5461732867142889
8.99,12.99,0.585,0.17678169785394396
8.58,25.77,0.92,-0.25422883710180955
6.9,5.31,1.564,1.7898109578370618
7.55,7.05,0.3,1.283621766017203
7.93,4.26,0.239,1.5691808017945623
9.71,0.87,0.915,2.2369614947627623
9.57,1.54,1.812,1.796958558327074
8.55,4.19,1.357,1.3355719540674091
6.62,2.9,1.531,2.4272040042020877
7.89,3.07,0.93,1.8697232490456273
7.51,5.66,1.112,1.490367137623457
7.36,0.08,0.126,5.2498200260161125
8.66,1.33,-0.039,2.2882967180658285
8.51,1.8,1.576,2.085454989793388
6.65,3.28,0.912,2.3082523125766414
9.67,13.05,0.633,-0.0992210233485995
7.8,11.07,0.501,0.7917047582425543
8.21,5.34,1.108,1.2609174859428869
7.9,4.39,-0.03,1.5550709595157572
8.94,2.09,1.0,1.7837074277778924
9.82,5.66,0.418,0.5663671376234569
8.69,7.38,0.509,0.7878872763539171
8.57,-0.16,1.612,4.16376003468815
8.89,5.95,0.476,0.8949660685429006
5.98,49.3,0.687,0.22230616144553964
7.92,5.38,0.459,1.3704354486672217
7.6,2.35,1.539,2.2178642754565274
8.22,4.71,1.22,1.3659581857422074
5.7,39.0,0.519,0.5378707859470019
12.17,56.92,1.55,-2.3785297828244936
8.75,7.24,0.487,0.7805228676057062
6.93,8.6,1.086,1.3590030975128649
7.97,4.78,0.256,1.4531442067757623
8.06,3.09,1.431,1.7960830411503306
10.13,4.69,0.593,0.6056543145698331
7.31,6.73,0.402,1.4199698715520466
8.35,8.11,0.624,0.8419582915776882
5.57,3.32,-0.023,2.7297238325919273
9.85,4.6,0.526,0.7344843366368519
9.16,-1.67,1.045,1.8905670577048332
9.03,3.63,1.349,1.2681867499277752
10.07,5.95,0.59,0.4229660685429007
9.76,2.9,1.39,1.171204004202088
9.35,3.91,0.41,1.0756464852082666
10.95,13.26,1.008,-0.6250870481375081
8.87,6.15,0.426,0.8742497684491667
6.68,5.13,0.986,1.9077652697763674
9.69,10.02,0.578,0.12226455693754623
8.05,4.21,0.112,1.5314358083286632
10.3,2.04,0.506,1.2607396651482021
6.07,72.98,0.752,-0.1544077180572593
8.51,4.0,1.107,1.3918800173440753
7.71,5.02,1.038,1.5145925657099615
8.56,5.61,0.548,1.078074277487677
8.26,2.44,1.233,1.921220347322541
11.55,-0.29,0.49,2.4552040042020877
8.62,2.41,0.148,1.7879659148502636
10.92,5.29,0.792,0.18508865592962848
10.51,1.92,0.759,1.229397542592901
9.83,2.3,0.587,1.3445443279648142
9.84,9.89,0.69,0.07360741680564117
9.74,4.82,0.494,0.7379059235223007
8.21,9.08,0.574,0.7998283029578293
8.72,6.36,0.41,0.9050857687031719
8.03,1.65,1.631,2.3530321115721877
9.0,0.55,-0.09,2.919274621011512
6.19,25.59,0.386,0.7078594282256286
11.79,3.17,0.71,0.28188147556449755
8.22,3.69,0.951,1.577947267681879
7.93,4.96,1.107,1.4370366470196054
10.18,0.77,0.58,2.1550185496550363
8.98,6.64,0.567,0.7636638412639648
9.13,1.34,1.125,2.0937904032703845
6.91,3.69,1.123,2.1019472676818793
8.79,1.16,1.234,2.3550840215461633
8.23,18.71,0.58,0.16385242499998007
10.24,3.82,0.402,0.7398732741765827
8.83,2.0,1.114,1.8659400086720375
7.62,3.73,0.955,1.8085823363826248
8.96,4.04,0.446,1.2032372697787899
10.41,2.89,0.51,0.9142043144869042
8.97,3.75,0.05,1.263937464544562
9.61,15.97,0.761,-0.250609832276966
8.29,8.4,0.387,0.835441427876237
8.3,0.43,1.552,3.4130630888408264
8.26,4.01,0.494,1.4897112547596356
7.44,7.12,0.203,1.3190400127262873
9.52,4.4,0.19,0.9050946470276253
8.2,4.41,0.295,1.4311228210643232
8.68,7.89,0.529,0.7338459935811595
8.65,4.33,0.061,1.267024207293269
10.52,6.74,0.512,0.13468020692936059
8.41,5.14,0.405,1.2140737620094484
9.18,5.85,0.333,0.7936882678356392
8.42,4.84,0.345,1.2623092767111752
8.86,3.28,1.552,1.424252312576642
7.92,4.03,1.054,1.6213899077177811
10.97,-0.66,0.33,1.9729121289162623
8.85,4.19,0.323,1.2155719540674095
9.31,6.51,0.226,0.648838022863616
10.28,6.34,0.503,0.28382148423653497
7.56,11.92,0.419,0.823447489191565
7.88,4.23,0.407,1.5953192652499153
7.99,3.54,1.441,1.7059934759484243
8.23,17.18,0.599,0.237953681009553
8.52,2.2,1.084,1.9071546383555877
9.14,17.98,0.74,-0.16557937479442017
